Name,Author,Created,Commands,Command,Description,Usecase,Category,Privileges,MitreID,OperatingSystem,Resources,driver_description,Acknowledgement,Person,Handle,Detection,KnownHashes,Metadata,binary,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,OriginalFilename,driver_verified,POCs
vboxdrv.sys,Michael Haag,2023-01-09,,,Used by unknown actor in Acid Rain malware. vboxdrv.sys is a vulnerable driver.,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link:https://unit42.paloaltonetworks.com/acidbox-rare-malware/, Link:https://www.coresecurity.com/core-labs/advisories/virtualbox-privilege-escalation-vulnerability, link:https://securelist.com/operation-tunnelsnake-and-moriya-rootkit/101831/",https://unit42.paloaltonetworks.com/acidbox-rare-malware/,,,,,"hash:78827fa00ea48d96ac9af8d1c1e317d02ce11793e7f7f6e4c7aac7b5d7dd490f, hash:cf3a7d4285d65bf8688215407bce1b51d7c6b22497f09021f0fce31cbeb78986",,,,,,,VirtualBox Support Driver,Sun VirtualBox,,2.2.0.r45846,x64,,TRUE,
rwdrv.sys,Michael Haag,2023-01-09,,,"This utility access almost all the computer hardware, including PCI (PCI Express), PCI Index/Data, Memory, Memory Index/Data, I/O Space, I/O Index/Data, Super I/O, Clock Generator, DIMM SPD, SMBus Device, CPU MSR Registers, ATA/ATAPI Identify Data, Disk Read Write, ACPI Tables Dump (include AML decode), Embedded Controller, USB Information, SMBIOS Structures, PCI Option ROMs, MP Configuration Table, E820, EDID and Remote Access. And also a Command Window is provided to access hardware manually.

",Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, Link:http://rweverything.com/",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:ea0b9eecf4ad5ec8c14aec13de7d661e7615018b1a3c65464bf5eca9bbf6ded3,,,,,,,,,,,,,TRUE,
speedfan.sys,Michael Haag,2023-01-09,,,speedfan.sys is a vulnerable driver. CVE-2007-5633.,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2007-5633",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:22be050955347661685a4343c51f11c7811674e030386d2264cd12ecbf544b7c,,,,,,,,,,,,,TRUE,
kprocesshacker.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:70211a3f90376bbc61f49c22a63075d1d4ddd53f0aefa976216c46e6ba39a9f4,,,,,,,,,,,,,TRUE,
sandra.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:1aaf4c1e3cb6774857e2eef27c17e68dc1ae577112e4769665f516c2e8c4e27b,,,,,,,,,,,,,TRUE,
elbycdio.sys,Michael Haag,2023-01-09,,,elbycdio.sys is a vulnerable driver. CVE-2009-0824.,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, Link: https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08064459/Equation_group_questions_and_answers.pdf",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:eea53103e7a5a55dc1df79797395a2a3e96123ebd71cdd2db4b1be80e7b3f02b,,,,,,,,,,,,,TRUE,
goad.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, link:https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/09133534/The-Slingshot-APT_report_ENG_final.pdf",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:312E31851E0FC2072DBF9A128557D6EF,,,,,,,,,,,,,FALSE,
aswsnx.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, Link:https://artemonsecurity.blogspot.com/2016/10/remsec-driver-analysis-part-3.html?view=sidebar, link: https://www.exploit-db.com/exploits/42182",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,,,,,,,,,,,,,,FALSE,
sandbox.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,,,,,,,,,,,,,,FALSE,
nicm.sys,Michael Haag,2023-01-09,,,nicm.sys is a vulnerable driver. CVE-2013-3956.,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:e6056443537d4d2314dabca1b9168f1eaaf17a14eb41f6f5741b6b82b3119790,,,,,,,,,,,,,TRUE,
nscm.sys,Michael Haag,2023-01-09,,,nscm.sys is a vulnerable driver. CVE-2013-3956.,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:76660e91f1ff3cb89630df5af4fe09de6098d09baa66b1a130c89c3c5edd5b22,,,,,,,,,,,,,TRUE,
ncpl.sys,Michael Haag,2023-01-09,,,ncpl.sys is a vulnerable driver. CVE-2013-3956.,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:6c7120e40fc850e4715058b233f5ad4527d1084a909114fd6a36b7b7573c4a44,,,,,,,,,,,,,TRUE,
elrawdsk.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, Link:https://securelist.com/shamoon-the-wiper-further-details-part-ii/57784/, Link:https://github.com/Yara-Rules/rules/blob/master/malware/MALW_Shamoon.yar",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,"hash:4744df6ac02ff0a3f9ad0bf47b15854bbebb73c936dd02f7c79293a2828406f6, hash:5a826b4fa10891cf63aae832fc645ce680a483b915c608ca26cedbb173b1b80a",,,,,,,,,,,,,TRUE,
DBUtilDrv2.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,"hash:90a76945fd2fa45fab2b7bcfdaf6563595f94891, hash:b03b1996a40bfea72e4584b82f6b845c503a9748",,,,,,,,,,,,,TRUE,
BS_RCIO64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, Link:https://github.com/elastic/protections-artifacts/blob/932baf346cc8a743f1963ad3d4565b42ed17bebe/yara/rules/Windows_VulnDriver_Biostar.yar#L54",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:d205286bffdf09bc033c09e95c519c1c267b40c2ee8bab703c6a2d86741ccd3e,,,,,,,,,,,,,TRUE,
mhyprot.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, Link:https://github.com/elastic/protections-artifacts/blob/932baf346cc8a743f1963ad3d4565b42ed17bebe/yara/rules/Windows_VulnDriver_Mhyprot.yar",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:509628b6d16d2428031311d7bd2add8d5f5160e9ecc0cd909f1e82bbbb3234d6,,,,,,,,,,,,,TRUE,
EneTechIo64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c, Link:https://github.com/hfiref0x/KDU/releases/tag/v1.2.0",https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,,,,,hash:06bda5a1594f7121acd2efe38ccb617fbc078bb9a70b665a5f5efd70e3013f50,,,,,,,,,,,,,TRUE,
amp.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,,,,,hash:cbb8239a765bf5b2c1b6a5c8832d2cab8fef5deacadfb65d8ed43ef56d291ab6,,,,,,,,,,,,,TRUE,
EneIo64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,,,,,hash:9fc29480407e5179aa8ea41682409b4ea33f1a42026277613d6484e5419de374,,,,,,,,,,,,,TRUE,
ATSZIO.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,,,,,hash:01e024cb14b34b6d525c642a710bfa14497ea20fd287c39ba404b10a8b143ece,,,,,,,,,,,,,TRUE,
NalDrv.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,https://gist.github.com/k4nfr3/af970e7facb09195e56f2112e1c9549c,,,,,hash:4429f32db1cc70567919d7d47b844a91cf1329a6cd116f582305f3b7b60cd60b,,,,,,,,,,,,,TRUE,
DirectIo32.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link:https://github.com/eset/vulnerability-disclosures/blob/master/CVE-2020-15480/CVE-2020-15480.md, Link:https://www.welivesecurity.com/2022/01/11/signed-kernel-drivers-unguarded-gateway-windows-core/",https://github.com/eset/vulnerability-disclosures/blob/master/CVE-2020-15480/CVE-2020-15480.md,,,,,,,,,,,,,,,,,,TRUE,
DirectIo64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link:https://github.com/eset/vulnerability-disclosures/blob/master/CVE-2020-15480/CVE-2020-15480.md, Link:https://www.welivesecurity.com/2022/01/11/signed-kernel-drivers-unguarded-gateway-windows-core/",https://github.com/eset/vulnerability-disclosures/blob/master/CVE-2020-15480/CVE-2020-15480.md,,,,,,,,,,,,,,,,,,TRUE,
AsUpIO64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:b4d47ea790920a4531e3df5a4b4b0721b7fea6b49a35679f0652f1e590422602,,,,,,,,,,,,,TRUE,
AsrDrv102.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:a7c2e7910942dd5e43e2f4eb159bcd2b4e71366e34a68109548b9fb12ac0f7cc,,,,,,,,,,,,,TRUE,
AsrDrv103.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:2003b478b9fd1b3d76ec5bf4172c2e8915babbbee7ad1783794acbf8d4c2519d,,,,,,,,,,,,,TRUE,
BSMEMx64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:f929bead59e9424ab90427b379dcdd63fbfe0c4fb5e1792e3a1685541cd5ec65,,,,,,,,,,,,,TRUE,
BSMIXP64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:59626cac380d8fe0b80a6d4c4406d62ba0683a2f0f68d50ad506ca1b1cf25347,,,,,,,,,,,,,TRUE,
BSMIx64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:552f70374715e70c4ade591d65177be2539ec60f751223680dfaccb9e0be0ed9,,,,,,,,,,,,,TRUE,
BS_Flash64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:86a8e0aa29a5b52c84921188cc1f0eca9a7904dcfe09544602933d8377720219,,,,,,,,,,,,,TRUE,
BS_HWMIO64_W10.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:1d0397c263d51e9fc95bcc8baf98d1a853e1c0401cd0e27c7bf5da3fba1c93a8,,,,,,,,,,,,,TRUE,
BS_HWMIo64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:60c6f4f34c7319cb3f9ca682e59d92711a05a2688badbae4891b1303cd384813,,,,,,,,,,,,,TRUE,
BS_I2c64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:55fee54c0d0d873724864dc0b2a10b38b7f40300ee9cae4d9baaf8a202c4049a,,,,,,,,,,,,,TRUE,
GVCIDrv64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:42f0b036687cbd7717c9efed6991c00d4e3e7b032dc965a2556c02177dfdad0f,,,,,,,,,,,,,TRUE,
HwOs2Ec10x64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:bb1135b51acca8348d285dc5461d10e8f57260e7d0c8cc4a092734d53fc40cbc,,,,,,,,,,,,,TRUE,
HwOs2Ec7x64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:b179e1ab6dc0b1aee783adbcad4ad6bb75a8a64cb798f30c0dd2ee8aaf43e6de,,,,,,,,,,,,,TRUE,
NBIOLib_X64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:3f2fda9a7a9c57b7138687bbce49a2e156d6095dddabb3454ea09737e02c3fa5,,,,,,,,,,,,,TRUE,
NCHGBIOS2x64.SYS,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:314384b40626800b1cde6fbc51ebc7d13e91398be2688c2a58354aa08d00b073,,,,,,,,,,,,,TRUE,
NTIOLib_X64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:d8b58f6a89a7618558e37afc360cd772b6731e3ba367f8d58734ecee2244a530,,,,,,,,,,,,,TRUE,
PhlashNT.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:65db1b259e305a52042e07e111f4fa4af16542c8bacd33655f753ef642228890,,,,,,,,,,,,,TRUE,
Phymemx64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:19a212e6fc324f4cb9ee5eba60f5c1fc0191799a4432265cbeaa3307c76a7fc0,,,,,,,,,,,,,TRUE,
UCOREW64.SYS,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:a7c8f4faf3cbb088cac7753d81f8ec4c38ccb97cd9da817741f49272e8d01200,,,,,,,,,,,,,TRUE,
WinFlash64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:677c0b1add3990fad51f492553d3533115c50a242a919437ccb145943011d2bf,,,,,,,,,,,,,TRUE,
WinRing0x64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:11bd2c9f9e2397c9a16e0990e4ed2cf0679498fe0fd418a3dfdac60b5c160ee5,,,,,,,,,,,,,TRUE,
dbk64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:18e1707b319c279c7e0204074088cc39286007a1cf6cb6e269d5067d8d0628c6,,,,,,,,,,,,,TRUE,
mtcBSv64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:c9cf1d627078f63a36bbde364cd0d5f2be1714124d186c06db5bcdf549a109f8,,,,,,,,,,,,,TRUE,
nvflash.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:afdd66562dea51001c3a9de300f91fc3eb965d6848dfce92ccb9b75853e02508,,,,,,,,,,,,,TRUE,
nvflsh64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:a899b659b08fbae30b182443be8ffb6a6471c1d0497b52293061754886a937a3,,,,,,,,,,,,,TRUE,
phymem64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:1963d5a0e512b72353953aadbe694f73a9a576f0241a988378fa40bf574eda52,,,,,,,,,,,,,TRUE,
rtkio64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:7133a461aeb03b4d69d43f3d26cd1a9e3ee01694e97a0645a3d8aa1a44c39129,,,,,,,,,,,,,TRUE,
rtkiow10x64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:32e1a8513eee746d17eb5402fb9d8ff9507fb6e1238e7ff06f7a5c50ff3df993,,,,,,,,,,,,,TRUE,
rtkiow8x64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:082c39fe2e3217004206535e271ebd45c11eb072efde4cc9885b25ba5c39f91d,,,,,,,,,,,,,TRUE,
segwindrvx64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:65329dad28e92f4bcc64de15c552b6ef424494028b18875b7dba840053bc0cdd,,,,,,,,,,,,,TRUE,
superbmc.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:f8430bdc6fd01f42217d66d87a3ef6f66cb2700ebb39c4f25c8b851858cc4b35,,,,,,,,,,,,,TRUE,
semav6msr.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:9f1229cd8dd9092c27a01f5d56e3c0d59c2bb9f0139abf042e56f343637fda33,,,,,,,,,,,,,TRUE,
piddrv64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,https://github.com/eclypsium/Screwed-Drivers/blob/master/DRIVERS.md,,,,,hash:b03f26009de2e8eabfcf6152f49b02a55c5e5d0f73e01d48f5a745f93ce93a29,,,,,,,,,,,,,TRUE,
BS_I2cIo.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/elastic/protections-artifacts/search?q=VulnDriver, Link:https://github.com/elastic/protections-artifacts/blob/932baf346cc8a743f1963ad3d4565b42ed17bebe/yara/rules/Windows_VulnDriver_Biostar.yar#L30",https://github.com/elastic/protections-artifacts/search?q=VulnDriver,,,,,hash:55fee54c0d0d873724864dc0b2a10b38b7f40300ee9cae4d9baaf8a202c4049a,,,,,,,,,,,,,TRUE,
rtkio.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/elastic/protections-artifacts/search?q=VulnDriver,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,,,,,hash:478917514be37b32d5ccf76e4009f6f952f39f5553953544f1b0688befd95e82,,,,,,,,,,,,,TRUE,
AMDRyzenMasterDriver.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/elastic/protections-artifacts/search?q=VulnDriver,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,,,,,hash:a13054f349b7baa8c8a3fcbd31789807a493cc52224bbff5e412eb2bd52a6433,,,,,,,,,,,,,TRUE,
LHA.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/elastic/protections-artifacts/search?q=VulnDriver,https://github.com/elastic/protections-artifacts/search?q=VulnDriver,,,,,hash:e75714f8e0ff45605f6fc7689a1a89c7dcd34aab66c6131c63fefaca584539cf,,,,,,,,,,,,,TRUE,
